# 92-U-235(n,thermal chi) ENDF/B-VII.1
1.300000000000000000e+02,7.084853415484275791e-09
1.400000000000000000e+02,7.352139132869245795e-09
1.500000000000000000e+02,7.608733421558818123e-09
1.600000000000000000e+02,7.858200091118122578e-09
1.700000000000000000e+02,8.100539141547162467e-09
1.800000000000000000e+02,8.335750572845936137e-09
1.900000000000000000e+02,8.563834385014445241e-09
2.000000000000000000e+02,8.786572482835251785e-09
2.100000000000000000e+02,9.003964866308362387e-09
2.200000000000000000e+02,9.216011535433772083e-09
2.300000000000000000e+02,9.422712490211482528e-09
2.400000000000000000e+02,9.625849635424059036e-09
2.500000000000000000e+02,9.823641066288936293e-09
2.600000000000000000e+02,1.001786868758868292e-08
2.700000000000000000e+02,1.020853249932329396e-08
2.800000000000000000e+02,1.039563250149277437e-08
2.900000000000000000e+02,1.058095059887968615e-08
3.000000000000000000e+02,1.076092298191889869e-08
3.100000000000000000e+02,1.093911346017554591e-08
3.200000000000000000e+02,1.111374012886705919e-08
3.300000000000000000e+02,1.128658489277600716e-08
3.400000000000000000e+02,1.145586584711982119e-08
3.500000000000000000e+02,1.162336489668106991e-08
3.600000000000000000e+02,1.178730013667718469e-08
3.700000000000000000e+02,1.195123537667329948e-08
3.800000000000000000e+02,1.211160680710428197e-08
3.900000000000000000e+02,1.226841442797013054e-08
4.000000000000000000e+02,1.242522204883598075e-08
4.100000000000000000e+02,1.258024776491926234e-08
4.200000000000000000e+02,1.273170967143741165e-08
4.300000000000000000e+02,1.288317157795556097e-08
4.400000000000000000e+02,1.303106967490857965e-08
4.500000000000000000e+02,1.317896777186159502e-08
4.600000000000000000e+02,1.332508396403204673e-08
4.700000000000000000e+02,1.346941825141993148e-08
4.800000000000000000e+02,1.361197063402524760e-08
4.900000000000000000e+02,1.375274111184799675e-08
5.000000000000000000e+02,1.389172968488818225e-08
5.100000000000000000e+02,1.403071825792836774e-08
5.200000000000000000e+02,1.416614302140342095e-08
5.300000000000000000e+02,1.430156778487847086e-08
5.400000000000000000e+02,1.443699254835352076e-08
5.500000000000000000e+02,1.456885350226344169e-08
5.600000000000000000e+02,1.470071445617336096e-08
5.700000000000000000e+02,1.483257541008327858e-08
5.800000000000000000e+02,1.496087255442806226e-08
5.900000000000000000e+02,1.509095160355541788e-08
6.000000000000000000e+02,1.521746684311763625e-08
6.100000000000000000e+02,1.534398208267985462e-08
6.200000000000000000e+02,1.546871541745950602e-08
6.300000000000000000e+02,1.559344875223915742e-08
6.400000000000000000e+02,1.571640018223624516e-08
6.500000000000000000e+02,1.583935161223333290e-08
6.600000000000000000e+02,1.596052113744785367e-08
6.700000000000000000e+02,1.607990875787980747e-08
6.800000000000000000e+02,1.619929637831175797e-08
6.900000000000000000e+02,1.631868399874371177e-08
7.000000000000000000e+02,1.643628971439309860e-08
7.100000000000000000e+02,1.655389543004248544e-08
7.200000000000000000e+02,1.666971924090930530e-08
7.300000000000000000e+02,1.678554305177612517e-08
7.400000000000000000e+02,1.689958495786038138e-08
