# 92-U-235(n,thermal chi) ENDF/B-VII.1
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.850472730300754891e-09
1.100000000000000000e+01,1.940914764442684684e-09
1.200000000000000000e+01,2.027528564335221045e-09
1.300000000000000000e+01,2.110314129978362939e-09
1.400000000000000000e+01,2.189749990653285295e-09
1.500000000000000000e+01,2.266793204922336730e-09
1.600000000000000000e+01,2.340965243504342730e-09
1.700000000000000000e+01,2.412744635680477394e-09
1.800000000000000000e+01,2.483088440013089340e-09
1.900000000000000000e+01,2.551039597939830779e-09
2.000000000000000000e+01,2.617076638741874571e-09
2.100000000000000000e+01,2.681678091700395645e-09
2.200000000000000000e+01,2.744843956815394414e-09
2.300000000000000000e+01,2.806574234086870466e-09
2.400000000000000000e+01,2.866868923514823799e-09
2.500000000000000000e+01,2.926206554380428102e-09
2.600000000000000000e+01,2.984108597402510514e-09
2.700000000000000000e+01,3.041053581862243896e-09
2.800000000000000000e+01,3.096562978478454559e-09
2.900000000000000000e+01,3.151593845813491535e-09
3.000000000000000000e+01,3.205189125305005379e-09
3.100000000000000000e+01,3.258305875515345122e-09
3.200000000000000000e+01,3.310465567163336662e-09
3.300000000000000000e+01,3.361668200248979585e-09
3.400000000000000000e+01,3.412392304053448406e-09
3.500000000000000000e+01,3.462159349295567784e-09
3.600000000000000000e+01,3.511447865256514301e-09
3.700000000000000000e+01,3.559779322655111374e-09
3.800000000000000000e+01,3.607632250772534346e-09
3.900000000000000000e+01,3.654528120327609528e-09
4.000000000000000000e+01,3.701423989882683884e-09
4.100000000000000000e+01,3.747362800875410449e-09
4.200000000000000000e+01,3.792823082586962500e-09
4.300000000000000000e+01,3.837804835017340449e-09
4.400000000000000000e+01,3.881829528885369368e-09
4.500000000000000000e+01,3.925854222753398287e-09
4.600000000000000000e+01,3.969400387340253932e-09
4.700000000000000000e+01,4.011989493364760546e-09
4.800000000000000000e+01,4.054578599389267160e-09
4.900000000000000000e+01,4.096689176132599673e-09
5.000000000000000000e+01,4.138321223594758085e-09
5.100000000000000000e+01,4.179474741775741567e-09
5.200000000000000000e+01,4.220149730675550949e-09
5.300000000000000000e+01,4.260346190294187056e-09
5.400000000000000000e+01,4.300542649912822335e-09
5.500000000000000000e+01,4.340260580250283514e-09
5.600000000000000000e+01,4.379499981306570590e-09
5.700000000000000000e+01,4.418260853081683565e-09
5.800000000000000000e+01,4.457021724856796541e-09
5.900000000000000000e+01,4.495304067350734587e-09
6.000000000000000000e+01,4.533107880563499359e-09
6.100000000000000000e+01,4.570911693776263304e-09
6.200000000000000000e+01,4.608236977707853148e-09
6.300000000000000000e+01,4.645083732358269717e-09
6.400000000000000000e+01,4.681930487008685459e-09
6.500000000000000000e+01,4.718298712377927100e-09
6.600000000000000000e+01,4.754188408465994639e-09
6.700000000000000000e+01,4.790078104554061350e-09
6.800000000000000000e+01,4.823575154236257555e-09
6.900000000000000000e+01,4.861857496730196428e-09
7.000000000000000000e+01,4.895354546412393460e-09
7.100000000000000000e+01,4.928851596094588837e-09
7.200000000000000000e+01,4.967133938588527711e-09
7.300000000000000000e+01,5.000630988270723915e-09
7.400000000000000000e+01,5.034128037952920119e-09
7.500000000000000000e+01,5.067625087635116324e-09
7.600000000000000000e+01,5.101122137317312528e-09
7.700000000000000000e+01,5.134619186999508732e-09
7.800000000000000000e+01,5.168116236681704936e-09
7.900000000000000000e+01,5.201613286363901141e-09
8.000000000000000000e+01,5.235110336046097345e-09
8.100000000000000000e+01,5.268607385728294377e-09
8.200000000000000000e+01,5.297319142598747084e-09
8.300000000000000000e+01,5.330816192280944116e-09
8.400000000000000000e+01,5.364313241963140320e-09
8.500000000000000000e+01,5.397810291645336524e-09
8.600000000000000000e+01,5.426522048515790886e-09
8.700000000000000000e+01,5.460019098197986264e-09
8.800000000000000000e+01,5.488730855068440626e-09
8.900000000000000000e+01,5.522227904750636830e-09
9.000000000000000000e+01,5.550939661621090365e-09
9.100000000000000000e+01,5.584436711303287396e-09
9.200000000000000000e+01,5.613148468173740931e-09
9.300000000000000000e+01,5.641860225044195293e-09
9.400000000000000000e+01,5.675357274726390670e-09
9.500000000000000000e+01,5.704069031596845032e-09
9.600000000000000000e+01,5.732780788467298567e-09
9.700000000000000000e+01,5.761492545337752929e-09
9.800000000000000000e+01,5.794989595019949134e-09
9.900000000000000000e+01,5.823701351890402669e-09
1.000000000000000000e+02,5.852413108760856203e-09
1.100000000000000000e+02,6.139530677465395688e-09
1.200000000000000000e+02,6.412292367734707992e-09
1.300000000000000000e+02,6.670698179568793115e-09
1.400000000000000000e+02,6.924318698591135568e-09
1.500000000000000000e+02,7.168368631989995164e-09
1.600000000000000000e+02,7.402847979765367767e-09
1.700000000000000000e+02,7.632542034729000182e-09
1.800000000000000000e+02,7.852665504069146431e-09
1.900000000000000000e+02,8.068003680597550011e-09
2.000000000000000000e+02,8.273771271502469906e-09
2.100000000000000000e+02,8.479538862407389801e-09
2.200000000000000000e+02,8.680521160500567027e-09
2.300000000000000000e+02,8.876718165782003238e-09
2.400000000000000000e+02,9.068129878251695125e-09
2.500000000000000000e+02,9.254756297909645997e-09
2.600000000000000000e+02,9.436597424755854199e-09
2.700000000000000000e+02,9.613653258790319732e-09
2.800000000000000000e+02,9.790709092824786920e-09
2.900000000000000000e+02,9.967764926859250799e-09
3.000000000000000000e+02,1.013525017527023265e-08
3.100000000000000000e+02,1.030273542368121450e-08
3.200000000000000000e+02,1.047022067209219469e-08
3.300000000000000000e+02,1.062813533487969120e-08
3.400000000000000000e+02,1.079083529047893038e-08
3.500000000000000000e+02,1.094874995326642689e-08
3.600000000000000000e+02,1.110187932324218073e-08
3.700000000000000000e+02,1.125500869321793457e-08
3.800000000000000000e+02,1.140813806319369006e-08
3.900000000000000000e+02,1.155648214035770124e-08
4.000000000000000000e+02,1.170482621752171241e-08
4.100000000000000000e+02,1.184838500187398256e-08
4.200000000000000000e+02,1.199194378622625272e-08
4.300000000000000000e+02,1.213550257057852122e-08
4.400000000000000000e+02,1.227427606211904871e-08
4.500000000000000000e+02,1.241304955365957785e-08
4.600000000000000000e+02,1.255182304520010368e-08
4.700000000000000000e+02,1.268581124392888850e-08
4.800000000000000000e+02,1.281979944265767331e-08
4.900000000000000000e+02,1.295378764138645979e-08
5.000000000000000000e+02,1.308299054730350028e-08
