92-U-238(n,total) ENDF/B-VII.1
65.7516,469.431
65.7724,625.893
65.7932,824.512
65.8169,1108.49
65.846,1541.22
65.8911,2365.84
65.9516,3530.02
65.9884,4059.45
66.0241,4306.82
66.0335,4320.19
66.0692,4168.96
66.1095,3663.2
66.2152,1726.23
66.2472,1244.52
66.2753,911.524
66.2998,686.831
66.322,529.967
66.3428,417.929
66.3636,332.909
66.3844,269.217
66.4081,216.172
66.4289,182.46
66.4571,149.856
66.4882,125.399
66.5238,106.418
66.5684,90.3046
66.6307,75.2513
66.7108,62.5027
66.8125,51.8884
66.9204,44.3437
67.0499,38.1249
67.2224,32.5744
67.4639,27.6883
67.7802,23.6615
68.1482,20.81
68.6312,18.4887
69.4096,16.3164
70.2957,14.8741
71.9911,13.3403
72.1463,13.2708
72.3844,13.3647
73.0204,12.7531
80.0149,10.1504
80.1538,10.2489
80.2327,10.6242
80.2801,11.3407
80.3117,12.348
80.3433,14.1677
80.3669,16.3873
80.3906,19.6876
80.4143,24.4667
80.438,31.189
80.4617,40.3535
80.4873,53.5906
80.5157,72.8147
80.5477,100.411
80.594,149.803
80.6666,231.645
80.707,264.089
80.7475,277.312
80.7512,277.406
80.791,266.577
80.8359,232.103
80.9457,113.068
80.9822,81.2425
81.0111,61.5726
81.0387,47.2123
81.0624,37.9563
81.0861,31.0458
81.1137,25.3224
81.1406,21.5569
81.1674,19.0315
81.2077,16.721
81.2479,15.4195
81.3284,14.0998
81.4548,13.1254
81.5811,12.5712
81.9691,11.717
82.9443,10.9557
83.2916,10.82
83.4846,11.1296
83.69,12.026
83.698,12.0284
83.8183,11.5876
83.9794,10.749
84.3475,10.4281
88.6463,9.38902
88.8253,9.56543
88.8902,9.96085
88.9552,10.9255
89.0129,12.5487
89.088,15.7956
89.1694,19.5734
89.2254,21.0194
89.2458,21.1412
89.2953,20.4675
89.3623,17.8404
89.4662,12.9605
89.5239,11.1077
89.5817,10.0249
89.6553,9.4008
89.778,9.11935
92.7268,8.11922
92.954,8.37704
93.1159,8.67023
93.2967,8.24741
93.4485,7.88403
96.3544,6.27096
97.7561,5.24074
97.9804,5.35088
98.1207,5.18512
98.3484,4.64524
99.6419,3.2153
100.069,2.8981
100.282,2.86218
100.484,2.97938
100.635,3.22587
100.77,3.62387
100.902,4.25471
101.023,5.1476
101.125,6.23524
101.219,7.60981
101.312,9.49741
101.397,11.8289
101.48,14.9427
101.56,19.059
101.631,24.0526
101.693,29.9185
101.755,37.8316
101.814,48.1087
101.864,60.1407
101.906,74.231
101.943,90.6731
101.979,112.397
102.008,137.013
102.038,170.3
102.068,215.992
102.094,271.956
102.122,350.941
102.146,439.826
102.17,553.979
102.196,715.428
102.225,948.625
102.256,1275.11
102.292,1748.35
102.332,2418.41
102.413,4046.45
102.473,5201.35
102.517,5771.95
102.564,5997.18
102.603,5838.74
102.653,5226.6
102.733,3720.62
102.799,2460.0
102.841,1797.29
102.879,1328.4
102.911,1026.28
102.942,807.018
102.974,632.48
103.006,504.388
103.038,411.039
103.076,332.363
103.118,271.528
103.166,225.334
103.217,190.717
103.282,159.63
103.36,133.587
103.454,111.735
103.578,91.7765
103.724,76.0437
103.907,62.7067
104.103,53.1167
104.325,45.5397
104.622,38.6213
104.977,33.0732
105.357,29.0331
105.926,24.9865
106.661,21.6452
107.586,18.9656
108.819,16.6546
110.769,14.2514
110.873,14.1928
111.172,14.4218
111.701,13.2851
113.646,11.0865
114.749,9.27182
115.749,7.00362
115.844,6.91111
115.981,7.06611
116.065,7.51068
116.127,8.20993
116.179,9.25585
116.221,10.6607
116.257,12.6386
116.284,14.7568
116.31,17.7846
116.336,22.1512
116.359,27.8337
116.38,34.6452
116.399,42.8313
116.422,55.7384
116.444,72.4681
116.464,93.4681
116.488,124.39
116.511,164.806
116.536,219.457
116.563,295.967
116.593,405.15
116.625,555.737
116.665,780.473
116.749,1360.97
116.807,1728.25
116.853,1930.95
116.898,2001.93
116.947,1923.19
116.997,1697.95
117.135,803.221
117.178,576.052
117.213,431.041
117.244,329.333
117.275,251.492
117.302,199.929
117.327,163.148
117.357,130.974
117.386,107.884
117.422,88.6605
117.464,73.9198
117.511,63.1189
