8-O-16(n,total) ENDF/B-VII.1
4265000.0,1.46859
4275000.0,1.40829
4280000.0,1.41779
4285000.0,1.47972
4290000.0,1.61811
4296250.0,1.91175
4310000.0,2.66432
4317500.0,2.91625
4326500.0,3.0313
4327000.0,3.03141
4340000.0,2.89726
4370000.0,2.39402
4400000.0,2.07377
4430000.0,1.89638
4445000.0,1.86288
4460000.0,1.88641
4464000.0,1.83441
4467000.0,1.6847
4471000.0,1.4166
4472000.0,1.36324
4475000.0,1.29425
4495000.0,1.34443
4520000.0,1.31224
4524500.0,1.3579
4527000.0,1.46121
4528500.0,1.6071
4529750.0,1.81512
4531000.0,2.14216
4533000.0,2.82032
4534000.0,3.00702
4535000.0,2.98233
4539000.0,2.22623
4540000.0,2.09351
4545000.0,1.73199
4550000.0,1.58537
4560000.0,1.46004
4582500.0,1.3549
4591000.0,1.33983
4597500.0,1.3731
4601500.0,1.463
4605000.0,1.37841
4610000.0,1.31789
4615000.0,1.30749
4622500.0,1.33665
4627500.0,1.4025
4630500.0,1.51215
4632500.0,1.65455
4634500.0,1.8994
4637000.0,2.2999
4638000.0,2.35976
4639000.0,2.28634
4641880.0,1.857
4645000.0,1.43204
4650000.0,1.25354
4657500.0,1.1789
4685000.0,1.0971
4762500.0,0.965085
4770000.0,0.961218
4787500.0,0.98573
4797500.0,1.0445
4805000.0,1.12976
4812500.0,1.2804
4821250.0,1.54008
4833000.0,1.92735
4840000.0,2.03522
4842000.0,2.04004
4852500.0,1.9301
4875000.0,1.5591
4895000.0,1.3459
4920000.0,1.19035
4955000.0,1.07645
4980000.0,1.04395
5005000.0,1.0738
5025000.0,1.1699
5045000.0,1.35023
5075000.0,1.65225
5102000.0,1.87122
5110000.0,2.03531
5116000.0,2.27908
5121500.0,2.6721
5129500.0,3.43655
5132000.0,3.53299
5135000.0,3.4302
5141250.0,2.77165
5146000.0,2.3051
5150000.0,2.03055
5155000.0,1.80002
5162500.0,1.5953
5170000.0,1.46685
5185000.0,1.32695
5210000.0,1.19784
5260000.0,1.06215
5300000.0,0.999902
5310000.0,1.12819
5320000.0,0.936286
5330000.0,0.971265
5340000.0,1.62942
5352190.0,1.18752
5355000.0,1.07048
5360000.0,0.998623
5368000.0,0.95248
5371000.0,0.971909
5372500.0,1.0269
5374000.0,1.11017
5375000.0,1.13048
5380000.0,1.00827
5387500.0,0.954675
5410000.0,0.914042
5440000.0,0.902046
5480000.0,0.931818
5510000.0,1.00754
5540000.0,1.15735
5575000.0,1.43728
5610000.0,1.71865
5635000.0,1.80445
5640000.0,1.80695
5687500.0,1.70465
5710000.0,1.55994
5770000.0,1.32552
5830000.0,1.17223
5865000.0,1.12914
5885000.0,1.15621
5895000.0,1.22178
5900000.0,1.28797
5906500.0,1.44399
5911000.0,1.62964
5916000.0,1.95007
5923000.0,2.51097
5926000.0,2.60369
5929000.0,2.51045
5939380.0,1.69181
5945000.0,1.39385
5951250.0,1.19675
5957500.0,1.06505
5970000.0,0.881
5981000.0,0.760305
5982000.0,0.755399
5985000.0,0.771334
5986500.0,0.811263
5988000.0,0.872373
5990250.0,1.04224
5995000.0,1.53753
5997000.0,1.65045
5999000.0,1.67676
6004500.0,1.55715
6013500.0,1.35325
6025000.0,1.21423
6042500.0,1.11665
6058000.0,1.08569
6067000.0,1.11435
6071500.0,1.1834
6074000.0,1.27641
6076000.0,1.41352
6079000.0,1.69103
6080000.0,1.70578
6082500.0,1.4676
6084500.0,1.25503
6086000.0,1.15771
6089000.0,1.06125
6094000.0,0.998571
6106000.0,0.958468
6150000.0,0.921876
6300000.0,0.894485
6328000.0,0.922466
6354000.0,1.00541
6368000.0,1.11374
6380000.0,1.2594
6395000.0,1.5091
6402000.0,1.54796
6407000.0,1.50746
6425000.0,1.13532
6440000.0,0.900189
6450000.0,0.804619
6467000.0,0.715873
6494000.0,0.640977
6498000.0,0.637961
6516600.0,0.675304
6556000.0,0.81058
6597000.0,0.966087
6642000.0,1.01151
6648000.0,1.01058
6663500.0,1.04704
6675000.0,1.11413
6685000.0,1.04845
6705000.0,1.00766
6710000.0,1.00498
6740000.0,1.04571
6775000.0,1.17128
6792500.0,1.29805
6810000.0,1.53133
6820000.0,1.59104
6840000.0,1.16099
6850000.0,1.01997
6860000.0,0.957135
6880000.0,0.89051
6925000.0,0.841465
6940000.0,0.840943
6977500.0,0.869956
7057500.0,1.03877
7060000.0,1.04084
7100000.0,1.02054
7140000.0,1.06094
7160000.0,1.12572
7172500.0,1.22959
7180000.0,1.34303
7200000.0,1.83254
7210000.0,1.75995
7235000.0,1.4803
7250000.0,1.36084
7280000.0,1.29874
7300000.0,1.30054
7322500.0,1.37016
7330000.0,1.39336
7360000.0,1.29646
7370000.0,1.19204
7380000.0,1.31442
7500000.0,1.12376
7520000.0,1.13449
7550000.0,1.12223
7568000.0,1.12257
7600000.0,1.11321
7660000.0,1.18599
7825000.0,1.44584
7860000.0,1.47422
7880000.0,1.43097
7940000.0,1.10649
7967500.0,0.95939
7990000.0,0.885761
8000000.0,0.861785
8020000.0,0.849133
8050000.0,0.874319
8100000.0,0.989291
8175000.0,1.22634
8250000.0,1.35171
8275000.0,1.35651
8360000.0,1.29162
8520000.0,1.12288
8540000.0,1.11808
8587500.0,1.13971
8660000.0,1.26848
8732500.0,1.41484
8750000.0,1.428
8790000.0,1.38881
8910000.0,1.131
8920000.0,1.11901
8955000.0,1.14731
9000000.0,1.20318
9050000.0,1.3704
9080000.0,1.27325
9200000.0,1.10815
9250000.0,1.09054
9312500.0,1.11663
9400000.0,1.21113
9431000.0,1.19616
9650000.0,1.23588
9800000.0,1.32256
9925000.0,1.27525
1.0176E7,1.42203
1.0202E7,1.43012
1.0325E7,1.3808
1.04655E7,1.28615
1.0669E7,1.20969
1.071E7,1.2271
1.0725E7,1.17275
1.073E7,1.14511
1.079E7,1.25867
1.0855E7,1.31974
1.086E7,1.31983
1.088E7,1.31735
1.093E7,1.34723
1.097E7,1.49537
1.1025E7,1.54448
1.115E7,1.70911
1.14E7,1.62859
1.1575E7,1.73963
1.16E7,1.74495
1.175E7,1.69942
1.1796E7,1.73974
1.195E7,1.66556
1.197E7,1.66836
1.21805E7,1.48136
1.22E7,1.47601
1.2465E7,1.53252
1.258E7,1.54252
1.27E7,1.53679
1.28924E7,1.65972
1.305E7,1.55708
1.32E7,1.5793
1.33E7,1.57135
1.36E7,1.6154
1.3601E7,1.6154
1.374E7,1.64677
1.377E7,1.63077
1.381E7,1.64536
1.405E7,1.58869
1.45E7,1.65846
1.4925E7,1.76295
1.5E7,1.76593
1.53025E7,1.60323
1.53921E7,1.58067
1.57E7,1.62627
1.595E7,1.57365
1.61E7,1.54721
1.64E7,1.58814
1.66516E7,1.53815
1.7025E7,1.6149
1.73E7,1.66302
1.84E7,1.58761
1.9E7,1.69073
1.96394E7,1.63411
2.0225E7,1.6715
2.065E7,1.70565
2.485E7,1.62825
2.6E7,1.63154
3.05E7,1.56116
5.8E7,1.08008
7.15E7,0.895464
8.45E7,0.769706
1.02E8,0.623128
1.14E8,0.557083
1.38E8,0.476598
1.5E8,0.443001
