# 2D Plot Data for Pu-240 Neutron-induced Fission Yields at 14 (MeV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   4.1565400e-14
      24   9.6591649e-11
      25   1.7401310e-08
      26   5.1706861e-07
      27   4.5009881e-06
      28   3.2129860e-05
      29   1.8545871e-04
      30   7.9024842e-04
      31   2.3399722e-03
      32   5.1863150e-03
      33   1.0298354e-02
      34   1.8332693e-02
      35   3.0267449e-02
      36   4.5184158e-02
      37   6.4691340e-02
      38   8.5761622e-02
      39   1.0785622e-01
      40   1.2581020e-01
      41   1.3068774e-01
      42   1.1937172e-01
      43   9.4427372e-02
      44   6.8790707e-02
      45   4.3166663e-02
      46   3.1205523e-02
      47   2.9778303e-02
      48   3.2946438e-02
      49   4.5162568e-02
      50   6.8059095e-02
      51   9.7143326e-02
      52   1.1558337e-01
      53   1.3118742e-01
      54   1.2317075e-01
      55   1.1315727e-01
      56   8.5198391e-02
      57   6.3710137e-02
      58   4.4495974e-02
      59   2.9312261e-02
      60   1.8329108e-02
      61   1.0242676e-02
      62   4.9402900e-03
      63   2.0529521e-03
      64   7.6069676e-04
      65   2.5770121e-04
      66   8.7802051e-05
      67   2.6360675e-05
      68   6.9694069e-06
      69   7.1340847e-07
      70   1.3885865e-08
      71   3.2156600e-11
