# 2D Plot Data for U-235 Neutron-induced Fission Yields at 14 (MeV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   3.3391300e-13
      24   9.6058077e-10
      25   1.3773205e-07
      26   3.0157965e-06
      27   1.6930537e-05
      28   7.0419650e-05
      29   2.5311905e-04
      30   8.0627916e-04
      31   2.4728747e-03
      32   6.9742466e-03
      33   1.9781103e-02
      34   3.7855310e-02
      35   6.2882597e-02
      36   9.8012807e-02
      37   1.2035166e-01
      38   1.3027866e-01
      39   1.3035329e-01
      40   1.1691823e-01
      41   9.5656737e-02
      42   6.5191651e-02
      43   3.9035563e-02
      44   2.9249825e-02
      45   2.6062956e-02
      46   2.7346482e-02
      47   2.8920613e-02
      48   3.4029218e-02
      49   4.1212060e-02
      50   7.1619143e-02
      51   9.1805284e-02
      52   1.1671901e-01
      53   1.3073596e-01
      54   1.2821905e-01
      55   1.1856227e-01
      56   9.8728174e-02
      57   6.5797764e-02
      58   3.6317438e-02
      59   1.6507226e-02
      60   6.9152550e-03
      61   2.8408228e-03
      62   1.0564426e-03
      63   3.2650213e-04
      64   8.7299836e-05
      65   2.0929179e-05
      66   5.0668490e-06
      67   1.1936746e-06
      68   2.3421869e-07
      69   1.6309178e-08
      70   2.1292989e-10
      71   3.0924600e-13
