# 2D Plot Data for Pu-240 Neutron-induced Fission Yields at 500 (keV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   7.0548800e-18
      24   1.5733622e-13
      25   7.3731239e-11
      26   5.5398182e-09
      27   4.3294925e-08
      28   6.4761084e-07
      29   5.8190748e-06
      30   7.8906792e-05
      31   3.9375370e-04
      32   2.1832165e-03
      33   4.4675184e-03
      34   1.3216414e-02
      35   1.9119578e-02
      36   4.8025838e-02
      37   5.9775698e-02
      38   1.1817306e-01
      39   1.1474609e-01
      40   1.8518623e-01
      41   1.4324978e-01
      42   1.6827339e-01
      43   7.3209745e-02
      44   4.5025517e-02
      45   3.3144231e-03
      46   1.4904905e-03
      47   1.0816636e-03
      48   1.6649413e-03
      49   4.4955506e-03
      50   4.9730265e-02
      51   7.7564879e-02
      52   1.6897055e-01
      53   1.3299205e-01
      54   1.7877353e-01
      55   1.1310805e-01
      56   1.2145875e-01
      57   6.0688622e-02
      58   4.9094003e-02
      59   1.9945688e-02
      60   1.3627149e-02
      61   4.3103285e-03
      62   2.0925782e-03
      63   3.6039268e-04
      64   9.3394802e-05
      65   9.9329170e-06
      66   2.7372910e-06
      67   3.4524455e-07
      68   3.8302388e-08
      69   4.4079043e-10
      70   8.3331378e-13
      71   0.0000000e+00
