# 2D Plot Data for Pu-242 Neutron-induced Fission Yields at 14 (MeV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   1.6536200e-16
      24   1.0022260e-12
      25   1.3832627e-10
      26   3.0474788e-09
      27   2.1760833e-08
      28   1.4936791e-07
      29   3.0197144e-06
      30   7.0903838e-05
      31   5.8286752e-04
      32   2.3012031e-03
      33   7.4306123e-03
      34   1.7756846e-02
      35   2.8481154e-02
      36   4.3020115e-02
      37   6.2441943e-02
      38   8.6705242e-02
      39   1.1263824e-01
      40   1.3081390e-01
      41   1.3815945e-01
      42   1.2648290e-01
      43   8.9873272e-02
      44   9.3353560e-02
      45   3.4021675e-02
      46   1.2424454e-02
      47   1.1771065e-02
      48   1.2937131e-02
      49   4.2912186e-02
      50   9.7584443e-02
      51   9.1665922e-02
      52   1.3370541e-01
      53   1.3857580e-01
      54   1.2648126e-01
      55   1.1659575e-01
      56   8.5522684e-02
      57   5.8734108e-02
      58   4.1210385e-02
      59   2.7174586e-02
      60   1.5987421e-02
      61   8.0714471e-03
      62   3.2528461e-03
      63   9.9304356e-04
      64   2.1913533e-04
      65   3.8428628e-05
      66   5.9626804e-06
      67   7.8778768e-07
      68   8.2417431e-08
      69   2.3941668e-09
      70   9.0660207e-12
      71   9.1556000e-15
