# 2D Plot Data for Pu-239 Neutron-induced Fission Yields at 0.0253 (eV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   0.0000000e+00
      24   5.0711550e-15
      25   4.6317166e-12
      26   7.5899725e-10
      27   1.6397609e-08
      28   3.5067583e-07
      29   2.8346612e-06
      30   3.4453413e-05
      31   2.2420152e-04
      32   1.8490210e-03
      33   4.5973785e-03
      34   1.4828950e-02
      35   2.2277904e-02
      36   4.4149012e-02
      37   6.5986128e-02
      38   1.2182259e-01
      39   1.2382796e-01
      40   1.7581297e-01
      41   1.3656501e-01
      42   1.6665265e-01
      43   7.1919657e-02
      44   4.4710789e-02
      45   4.0300630e-03
      46   9.7873474e-04
      47   7.0089559e-04
      48   8.7241287e-04
      49   3.3236148e-03
      50   4.3346146e-02
      51   7.6000386e-02
      52   1.5671747e-01
      53   1.5156076e-01
      54   1.7400270e-01
      55   1.1338869e-01
      56   1.2789481e-01
      57   6.1337592e-02
      58   4.6552780e-02
      59   2.4530604e-02
      60   1.3609911e-02
      61   3.9311984e-03
      62   1.6505348e-03
      63   2.5531715e-04
      64   4.9507321e-05
      65   3.8454541e-06
      66   4.0238558e-07
      67   1.3495814e-08
      68   7.2248065e-10
      69   8.7289476e-12
      70   2.2790577e-14
      71   0.0000000e+00
