# 2D Plot Data for Pu-242 Neutron-induced Fission Yields at 0.0253 (eV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   1.0328100e-18
      24   4.4584126e-14
      25   1.3502294e-11
      26   7.2545607e-10
      27   6.8516894e-09
      28   1.2155620e-07
      29   1.3825398e-06
      30   2.8457613e-05
      31   1.6800870e-04
      32   1.2040243e-03
      33   3.8476956e-03
      34   1.2819810e-02
      35   1.8281412e-02
      36   4.3445975e-02
      37   5.7460729e-02
      38   1.1369419e-01
      39   1.1887436e-01
      40   1.7739582e-01
      41   1.3801812e-01
      42   1.6511614e-01
      43   8.7616421e-02
      44   5.7137347e-02
      45   3.9172639e-03
      46   1.1968444e-03
      47   6.8953056e-04
      48   7.1809019e-04
      49   4.2510093e-03
      50   5.4334847e-02
      51   8.5741755e-02
      52   1.7386426e-01
      53   1.4370414e-01
      54   1.7832247e-01
      55   1.1191099e-01
      56   1.0914641e-01
      57   5.4766522e-02
      58   4.3612407e-02
      59   1.9183667e-02
      60   1.2679595e-02
      61   4.2987452e-03
      62   2.1292191e-03
      63   3.6506638e-04
      64   5.4908196e-05
      65   2.5251530e-06
      66   1.7182894e-07
      67   9.1794982e-09
      68   5.3026841e-10
      69   1.7882835e-12
      70   7.9634000e-16
      71   0.0000000e+00
