# 2D Plot Data for U-238 Neutron-induced Fission Yields at 500 (keV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   1.4206400e-14
      24   2.4379632e-11
      25   5.2669558e-09
      26   1.5738912e-07
      27   6.0984756e-07
      28   1.8264045e-06
      29   7.6997870e-06
      30   1.0550901e-04
      31   7.2064484e-04
      32   4.4481191e-03
      33   1.3670240e-02
      34   3.3860936e-02
      35   5.8075360e-02
      36   1.0361027e-01
      37   1.0530528e-01
      38   1.5972040e-01
      39   1.5233229e-01
      40   1.7363060e-01
      41   1.1222485e-01
      42   7.4276326e-02
      43   5.0079705e-03
      44   1.0131445e-03
      45   8.2376764e-04
      46   9.8632317e-04
      47   8.5331026e-04
      48   1.0821651e-03
      49   5.6920979e-03
      50   7.8499637e-02
      51   1.0845057e-01
      52   1.7660082e-01
      53   1.4893285e-01
      54   1.5815564e-01
      55   1.0338255e-01
      56   1.0857881e-01
      57   5.7500811e-02
      58   3.4533224e-02
      59   1.2244430e-02
      60   4.5992394e-03
      61   8.9648073e-04
      62   1.5958146e-04
      63   1.3163765e-05
      64   2.2938632e-06
      65   6.5394613e-07
      66   2.5235120e-07
      67   4.4126039e-08
      68   1.7749743e-09
      69   3.1861492e-12
      70   0.0000000e+00
      71   0.0000000e+00
