# 2D Plot Data for Pu-241 Neutron-induced Fission Yields at 0.0253 (eV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   0.0000000e+00
      24   2.6910848e-15
      25   4.3469268e-12
      26   7.3176897e-10
      27   1.6574043e-08
      28   2.7461817e-07
      29   1.1054488e-06
      30   1.4287898e-05
      31   1.3970114e-04
      32   1.0610104e-03
      33   3.7765842e-03
      34   1.1753298e-02
      35   2.0256424e-02
      36   4.0692711e-02
      37   5.9578743e-02
      38   1.1024832e-01
      39   1.1863362e-01
      40   1.7541097e-01
      41   1.5563244e-01
      42   1.6897805e-01
      43   8.7310944e-02
      44   4.2881039e-02
      45   2.8896255e-03
      46   5.2251988e-04
      47   4.6148597e-04
      48   6.2840185e-04
      49   2.5187559e-03
      50   4.3351553e-02
      51   8.7960033e-02
      52   1.7150966e-01
      53   1.5271521e-01
      54   1.7423161e-01
      55   1.1886283e-01
      56   1.0962307e-01
      57   6.0317631e-02
      58   4.2080159e-02
      59   1.9599838e-02
      60   1.1209655e-02
      61   3.6376113e-03
      62   1.3488167e-03
      63   1.5147226e-04
      64   1.0582782e-05
      65   5.2899187e-07
      66   9.5979626e-08
      67   3.8085125e-09
      68   7.6960610e-11
      69   1.5441777e-13
      70   2.6157200e-17
      71   0.0000000e+00
