# 2D Plot Data for Pu-242 Neutron-induced Fission Yields at 500 (keV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   1.0537800e-16
      24   3.2072540e-12
      25   8.6335844e-10
      26   3.4043205e-08
      27   1.8612748e-07
      28   1.4800320e-06
      29   9.0545126e-06
      30   8.9367582e-05
      31   4.8368895e-04
      32   2.2642353e-03
      33   5.0581343e-03
      34   1.2986086e-02
      35   1.9102083e-02
      36   4.3893533e-02
      37   6.0275839e-02
      38   1.0569568e-01
      39   1.1306267e-01
      40   1.6958557e-01
      41   1.4698724e-01
      42   1.6761270e-01
      43   8.7774583e-02
      44   5.7027327e-02
      45   4.9964399e-03
      46   2.0919529e-03
      47   1.6221185e-03
      48   2.0199541e-03
      49   6.5124477e-03
      50   6.3602797e-02
      51   9.3898672e-02
      52   1.6360551e-01
      53   1.3367348e-01
      54   1.7071465e-01
      55   1.1178973e-01
      56   1.0765129e-01
      57   5.9974083e-02
      58   4.4509499e-02
      59   2.0847590e-02
      60   1.3210524e-02
      61   4.7458961e-03
      62   2.0964040e-03
      63   4.3374723e-04
      64   8.6313572e-05
      65   7.7963657e-06
      66   1.2419885e-06
      67   1.3535084e-07
      68   9.9487960e-09
      69   5.4002028e-11
      70   3.0501200e-14
      71   0.0000000e+00
