# 2D Plot Data for Pu-239 Neutron-induced Fission Yields at 500 (keV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   3.5965800e-18
      24   9.9385593e-14
      25   5.9960253e-11
      26   7.4526502e-09
      27   1.3360786e-07
      28   2.3029335e-06
      29   1.1147217e-05
      30   8.7495945e-05
      31   3.9217909e-04
      32   2.2895688e-03
      33   4.9280027e-03
      34   1.5247607e-02
      35   2.1924812e-02
      36   5.0913810e-02
      37   6.2003891e-02
      38   1.2227982e-01
      39   1.1580139e-01
      40   1.7904715e-01
      41   1.3887012e-01
      42   1.6521697e-01
      43   7.2128411e-02
      44   4.3265993e-02
      45   3.8400418e-03
      46   1.5543104e-03
      47   1.1071579e-03
      48   1.5531445e-03
      49   3.8279367e-03
      50   4.7712723e-02
      51   7.2394822e-02
      52   1.5928954e-01
      53   1.4111084e-01
      54   1.7196735e-01
      55   1.2088072e-01
      56   1.2313228e-01
      57   6.1386651e-02
      58   5.1631292e-02
      59   2.1021892e-02
      60   1.5151459e-02
      61   4.8223798e-03
      62   2.5521494e-03
      63   4.8609299e-04
      64   1.3969394e-04
      65   2.2030923e-05
      66   5.3073109e-06
      67   3.1296780e-07
      68   2.0228616e-08
      69   2.6941211e-10
      70   9.5204592e-13
      71   4.5648400e-16
