# 2D Plot Data for Pu-238 Neutron-induced Fission Yields at 500 (keV)
# JENDL FP Fission Yields Data File 2011 (FPY-2011)
# [Independent]
#      Z   Fission Yield
      23   8.6412900e-18
      24   1.9446326e-13
      25   8.7032077e-11
      26   7.9439112e-09
      27   1.1234088e-07
      28   1.9954232e-06
      29   9.6968813e-06
      30   1.1609637e-04
      31   5.4916699e-04
      32   2.9148369e-03
      33   5.8647694e-03
      34   1.8384239e-02
      35   2.5572251e-02
      36   6.2798696e-02
      37   7.0549366e-02
      38   1.3289747e-01
      39   1.1617139e-01
      40   1.7639265e-01
      41   1.2595894e-01
      42   1.4626681e-01
      43   6.7037812e-02
      44   4.2959302e-02
      45   2.4714796e-03
      46   1.8357016e-03
      47   1.4636556e-03
      48   2.1016438e-03
      49   5.2136649e-03
      50   4.0752292e-02
      51   6.8137142e-02
      52   1.4984229e-01
      53   1.2220323e-01
      54   1.7959085e-01
      55   1.1385743e-01
      56   1.3403304e-01
      57   6.8234370e-02
      58   6.1580276e-02
      59   2.6065132e-02
      60   1.8746648e-02
      61   5.7439283e-03
      62   2.9618932e-03
      63   5.6921916e-04
      64   1.3883357e-04
      65   1.1402892e-05
      66   1.5143791e-06
      67   6.7820717e-08
      68   6.9228805e-09
      69   1.6080800e-10
      70   9.4995496e-13
      71   4.5162000e-16
